feature_name,test_statistic,p_value,flagged
age_at_diagnosis,26.194047993130912,3.087727761320588e-07,True
tumor_size,4.072537239513894e-06,0.9983898278940386,False
lymph_nodes_examined_positive,0.7293738582996371,0.39308622069290433,False
tumor_stage_2,4.393281896893482,0.03608079650351546,True
tumor_stage_3,4.96410084354842,0.025878766488062123,True
tumor_stage_4,0.3935256397401637,0.5304519733368772,False
tumor_stage_Unknown,1.2164399801445045,0.2700604404868254,False
er_status_measured_by_ihc_Positive,19.33324052475184,1.097785268490267e-05,True
pr_status_Positive,9.31256795442886,0.0022758727465471327,True
her2_status_Positive,0.15940290411834587,0.6897068442486671,False
tumor_size_was_missing,2.7449017526650548,0.09756507379902525,False
er_status_measured_by_ihc_was_missing,0.7440982633424742,0.3883512126670656,False
